                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2548,                 3.8956,                 1.7275,                0.71137,                    0.5,                0.56402,                0.36325,                 1.2346,                 2.9712,                 1.1395,                      0,                      0,                      0
                      2,                 2.0018,                 3.6948,                 1.5301,                 0.6946,                    0.5,                0.53431,                0.35142,                 1.2029,                 2.7347,                 1.0604,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 1.8222,                 3.8662,                 1.3751,                0.37725,                0.66667,                0.44967,                0.31779,                 1.2027,                 2.4073,                 0.9305,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                 1.6304,                 2.7354,                 1.3411,                0.94604,                    0.5,                0.78278,                0.49899,                 1.3338,                 2.2096,                 0.9324,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 1.7654,                 2.5514,                 1.4005,                0.97993,                0.83333,                  0.915,                0.50763,                 1.3892,                 2.6909,                 1.0043,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 1.6059,                 2.0863,                  1.286,                0.98623,                0.83333,                0.87056,                0.49743,                 1.4768,                 2.9057,                 1.0342,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                 1.4823,                 1.9222,                 1.2174,                0.98261,                0.83333,                0.86409,                0.52193,                 1.5137,                 2.9424,                 1.0581,             0.00011857,             0.00011857,             0.00011857
                      8,                 1.7384,                 1.7683,                  1.149,                 0.9551,                0.66667,                0.83008,                0.52931,                 1.3559,                 3.1618,                 1.1539,             0.00013806,             0.00013806,             0.00013806
                      9,                 1.7391,                 1.6049,                 1.3423,                0.82887,                0.81101,                0.83128,                0.53989,                 1.2775,                 2.8599,                 1.1487,             0.00015747,             0.00015747,             0.00015747
                     10,                 1.5696,                 1.5132,                 1.1549,                0.94413,                0.66667,                0.84359,                0.59526,                 1.3224,                 2.1861,                 1.1241,             0.00017679,             0.00017679,             0.00017679
                     11,                 1.4771,                 1.7833,                 1.2039,                0.98094,                0.83333,                0.92227,                0.58371,                  1.283,                 1.8442,                 1.1026,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.6775,                  1.484,                 1.2402,                  0.966,                0.83333,                  0.955,                0.61199,                  1.397,                 1.8002,                 1.1766,             0.00021521,             0.00021521,             0.00021521
                     13,                 1.3526,                 1.2338,                 1.1208,                0.97143,                0.83333,                  0.955,                0.53452,                 1.7116,                 2.0083,                  1.177,              0.0002343,              0.0002343,              0.0002343
                     14,                 1.3246,                 1.2928,                 1.1062,                0.97203,                0.83333,                0.94167,                0.37787,                 2.2343,                  2.169,                 1.3241,             0.00025331,             0.00025331,             0.00025331
                     15,                  1.538,                 1.2301,                 1.0983,                0.81646,                0.83333,                  0.885,                0.34509,                 2.2768,                 1.8563,                 1.3452,             0.00027224,             0.00027224,             0.00027224
                     16,                 1.3263,                 1.2454,                  1.071,                0.81335,                0.83333,                   0.83,                0.43012,                 1.8488,                 2.0559,                 1.1651,             0.00029109,             0.00029109,             0.00029109
                     17,                 1.2701,                 1.2363,                 1.1037,                0.81835,                0.83333,                0.92227,                0.54885,                 1.3701,                 2.3259,                 1.0624,             0.00030986,             0.00030986,             0.00030986
                     18,                 1.2325,                  1.076,                 1.0742,                0.81835,                0.83333,                0.92227,                0.54885,                 1.3701,                 2.3259,                 1.0624,             0.00032856,             0.00032856,             0.00032856
                     19,                  1.182,                 1.1635,                 1.1037,                0.84561,                0.83333,                0.90357,                0.66894,                 1.0915,                 1.9733,                0.96951,             0.00034717,             0.00034717,             0.00034717
                     20,                 1.3705,                 1.0786,                  1.105,                0.84561,                0.83333,                0.90357,                0.66894,                 1.0915,                 1.9733,                0.96951,              0.0003657,              0.0003657,              0.0003657
                     21,                 1.4372,                 1.2344,                 1.1033,                0.88292,                0.83333,                0.90885,                0.62021,                 1.2112,                 1.8511,                 1.0012,             0.00038416,             0.00038416,             0.00038416
