                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2548,                 3.8956,                 1.7275,                0.71137,                    0.5,                0.56402,                0.36325,                 1.2346,                 2.9712,                 1.1395,                      0,                      0,                      0
                      2,                 2.0018,                 3.6948,                 1.5301,                0.69494,                    0.5,                0.53431,                0.35142,                 1.2029,                 2.7345,                 1.0603,              1.998e-05,              1.998e-05,              1.998e-05
                      3,                 1.8221,                 3.8655,                  1.375,                0.37714,                0.66667,                0.44988,                0.31794,                 1.2029,                 2.4068,                0.93043,             3.9921e-05,             3.9921e-05,             3.9921e-05
                      4,                 1.6301,                 2.7344,                  1.341,                0.94557,                    0.5,                0.78278,                0.49899,                 1.3352,                 2.2098,                0.93354,             5.9822e-05,             5.9822e-05,             5.9822e-05
                      5,                  1.764,                 2.5497,                    1.4,                0.97975,                0.83333,                  0.915,                0.50782,                  1.392,                 2.6892,                 1.0044,             7.9683e-05,             7.9683e-05,             7.9683e-05
                      6,                 1.6068,                 2.0812,                 1.2842,                0.98608,                0.83333,                0.86929,                 0.4938,                 1.4682,                 2.9448,                 1.0314,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      7,                 1.4766,                 1.9217,                 1.2185,                0.98256,                0.83333,                0.86324,                 0.5156,                  1.503,                 3.1073,                 1.0334,             0.00011929,             0.00011929,             0.00011929
                      8,                  1.735,                 1.7636,                 1.1453,                0.94413,                0.66667,                0.82549,                0.52519,                 1.3554,                 3.2513,                 1.1141,             0.00013903,             0.00013903,             0.00013903
                      9,                 1.7369,                 1.6449,                 1.3434,                0.83052,                0.81929,                0.83261,                0.56482,                 1.2691,                 2.8959,                 1.1224,             0.00015873,             0.00015873,             0.00015873
                     10,                 1.5746,                 1.4859,                 1.1644,                0.82798,                0.80655,                0.83867,                0.61217,                 1.2377,                 2.2103,                 1.0842,              0.0001784,              0.0001784,              0.0001784
                     11,                 1.4357,                 1.7181,                 1.1979,                0.97191,                0.83333,                  0.915,                0.63441,                 1.1721,                 1.8679,                 1.0707,             0.00019802,             0.00019802,             0.00019802
                     12,                  1.659,                 1.4352,                  1.243,                0.94665,                0.83333,                  0.955,                0.61542,                 1.3228,                 1.9008,                 1.1164,              0.0002176,              0.0002176,              0.0002176
                     13,                 1.3187,                 1.2207,                 1.1155,                0.94942,                0.83333,                  0.955,                0.55225,                  1.636,                 2.1028,                 1.1477,             0.00023715,             0.00023715,             0.00023715
                     14,                 1.3592,                 1.3289,                 1.1157,                0.96735,                0.83333,                0.94167,                0.43357,                 2.0186,                 2.1079,                 1.2329,             0.00025665,             0.00025665,             0.00025665
                     15,                 1.4402,                 1.1987,                 1.0764,                0.82924,                0.83333,                  0.915,                 0.5134,                 1.8571,                 1.8002,                 1.1787,             0.00027612,             0.00027612,             0.00027612
                     16,                 1.2183,                  1.204,                 1.0488,                0.81428,                0.83333,                0.89394,                0.58819,                 1.4799,                 1.5044,                 1.0234,             0.00029554,             0.00029554,             0.00029554
                     17,                 1.2541,                 1.2042,                 1.0686,                0.94119,                0.83333,                  0.955,                0.65151,                  1.141,                 1.9862,                0.91729,             0.00031493,             0.00031493,             0.00031493
                     18,                 1.1173,                 1.0208,                 1.0283,                0.94119,                0.83333,                  0.955,                0.65151,                  1.141,                 1.9862,                0.91729,             0.00033428,             0.00033428,             0.00033428
                     19,                 1.2054,                 1.2378,                 1.0874,                0.95691,                0.83333,                  0.955,                0.66283,                 1.0515,                 1.4348,                0.93892,             0.00035358,             0.00035358,             0.00035358
                     20,                 1.3074,                  1.111,                 1.0702,                0.95691,                0.83333,                  0.955,                0.66283,                 1.0515,                 1.4348,                0.93892,             0.00037285,             0.00037285,             0.00037285
                     21,                  1.346,                 1.1972,                 1.0396,                0.95753,                0.83333,                  0.915,                0.53069,                 1.4628,                 1.6435,                 1.0073,             0.00039208,             0.00039208,             0.00039208
                     22,                 1.0687,                 0.9823,                 1.0472,                0.95753,                0.83333,                  0.915,                0.53069,                 1.4628,                 1.6435,                 1.0073,             0.00041127,             0.00041127,             0.00041127
                     23,                 1.1133,                0.92546,                 1.0126,                0.97179,                0.83333,                0.89147,                0.46081,                  1.803,                 2.4653,                 1.0622,             0.00043042,             0.00043042,             0.00043042
                     24,                 1.1674,                 1.0776,                 1.0491,                0.97179,                0.83333,                0.89147,                0.46081,                  1.803,                 2.4653,                 1.0622,             0.00044953,             0.00044953,             0.00044953
                     25,                 1.0805,                0.90008,                 0.9738,                0.97823,                0.83333,                  0.883,                0.45982,                 1.6692,                 1.5825,                 1.0584,              0.0004686,              0.0004686,              0.0004686
                     26,                 1.3383,                 1.1584,                 1.0334,                0.97823,                0.83333,                  0.883,                0.45982,                 1.6692,                 1.5825,                 1.0584,             0.00048762,             0.00048762,             0.00048762
                     27,                 1.1225,                0.85102,                0.95648,                      1,                0.81991,                0.85733,                0.53521,                 1.3697,                 1.3774,                 1.0796,             0.00050662,             0.00050662,             0.00050662
                     28,                 1.2187,                 1.1297,                 1.0126,                      1,                0.81991,                0.85733,                0.53521,                 1.3697,                 1.3774,                 1.0796,             0.00052557,             0.00052557,             0.00052557
                     29,                 1.0951,                 1.0986,                0.97417,                0.82718,                0.80257,                0.83867,                0.53496,                 1.4167,                 1.2787,                 1.2823,             0.00054448,             0.00054448,             0.00054448
                     30,                 1.5929,                 1.1079,                 1.2254,                0.82718,                0.80257,                0.83867,                0.53496,                 1.4167,                 1.2787,                 1.2823,             0.00056335,             0.00056335,             0.00056335
                     31,                 1.3544,                 0.9855,                  1.071,                 0.9887,                0.83333,                  0.895,                0.51573,                 1.6584,                 1.2737,                 1.3096,             0.00058218,             0.00058218,             0.00058218
                     32,                 1.2095,                0.93677,                  1.086,                 0.9887,                0.83333,                  0.895,                0.51573,                 1.6584,                 1.2737,                 1.3096,             0.00060097,             0.00060097,             0.00060097
                     33,                 1.1868,                0.88159,                0.98839,                0.98931,                0.83333,                  0.895,                 0.4722,                 1.7655,                 1.1293,                 1.3558,             0.00061972,             0.00061972,             0.00061972
